ཀ་ཡེ,ཀ་ཡེ་
ཀར་ཡོལ,དཀར་ཡོལ་
ཀུ་མུད,ཀུ་མུ་ད་
ཀོ་ཀོ,ཀོས་ཀོ་
ཀོ་བྱིལ,ཀོ་བྱི་ལ་
ཀོ་སྐོ,ཀོས་ཀོ་
ཀྱ་ཀ,སྐྱ་ཀ་
ཀྱུ་རུ་ར,སྐྱུ་རུ་ར་
ཀྱེ་ཀ,སྐྱ་ཀ་
ཀྲུང་ཀྲུང,ཁྲུང་ཁྲུང་
ཀླལ,གླལ་
ཁ་ཐེག,ཁག་ཐེག་
ཁ་དབྲག,ཁ་བྲག་
ཁ་བྲ,ཁ་བྲག་
ཁ་མདོག,ཁ་དོག་
ཁན་ད,ཁན་ཊ་ཞེས་པ་
ཁར་བ,འཁར་བ་
ཁུ་འབངས,ཁུ་འཕངས་
ཁུན,འཁུན་
ཁུམས,འཁུམས་
ཁོན,༡.་འཁོན་
ཁྱགས,འཁྱགས་
ཁྱིད,མཁྱིད་
ཁྱོག་པོ,འཁྱོག་པོ་
ཁྲང,མཁྲང་
ཁྲིལ,འཁྲིལ་
ག་བུར,ག་པུར་
གག་པ,༢་གེག་པ་
གཅིའུ,གཅེའུ་
གཉི,གཉིས་
གཉེལ,མཉེལ་
གཏིམ,སྟིམ་
གཏོར,ཆུ་ཁུང་སྟེ་སྟོར་ཁུང་
གདང,ཁ་གདོངས་ཤིག་ལྟ་བུ།༢.རྡང་
གདམ་ཀ,འདམ་ག་
གདམ་ང,འདམ་ང་
གན,དགེ་རྒན་གྱི་གན་དུ་སོང་ལྟ་བུ།༢.ཀན་
གཙིར,བཙིར་གྱི་མ་འོངས་པ་
གཙོག,བཙོག་
གཟིང,གཟེང་
གཟེགས་མ,ཟེགས་མ་
གཟོབ,གཟབ་
གཡེན,དབྱེན་
གཤམ་བུ,ཤམ་བུ་
གཤུང,བཤུང་
གཤུམ,བཤུམ་
གསག,༢་གསོག་གི་མ་འོངས་པ་
གསིགས,སིགས་
གསུབ,༡.་སུབ་ཀྱི་མ་འོངས་པ།༢.སུབ་
གསུབས,སུབ་ཀྱི་སྐུལ་ཚིག་
གསེ་བ,སེ་བ་
གསོགས,༡.་གསག་གི་སྐུལ་ཚིག་
གསོབ,གསོག་གསོབ་ཅེས་པ་ལྟ་བུ།༣.བསབ་ཀྱི་ད་ལྟ་བ་
གུ་གུ་ཤ,གི་གུ་ཤ་
གུང་མོ,གུང་མོ་ལ་དཀྱིལ་མཛུབ་དང་མཐེའུ་ཆུང་ལ་མཛུབ་ཆུང་ཡང་ཟེར།༢.གོང་མོ་
གུམ,ཀུམ་
གྲུ་བུ,གྲུ་གུ་
གྲུངས,བགྲུང་གི་ད་ལྟ་བ་
གྲུས་མ,དྲུས་མ་
གླེ་བོ,སླེ་བོ་
ངུར་བ,ངང་ངུར་ཞེས་པ་ལྟ་བུ།༢.སྔུར་བ་
ཅག་ཀྲུམ,ཆག་གྲུམ་
ཅན་ནེ,ཅ་ནེ་
ཅོང,གཅོང་སྐད་
ཅོང་རོང,གཅོང་རོང་
ཅོལ་ལེ་བ,ཅོ་ལེ་བ་
ཆང་ཟུང,འཆང་བཟུང་
ཆེམས,༡.་ཆེམ་
ཉ་ག,ཉག་ཤིང་ཞེས་པ་ལྟ་བུ།༢.་ཉག་ག་
ཉུངས,འདི་ལ་ཡུངས་དཀར་དང་ཡུངས་ནག་ཀྱང་ཟེར།༢.ཉུངས་མ་སྟེ་ཉུང་མ་
ཉུལ,མྱུལ་མ་
ཏང་ཀུ,ཏང་ཀུན་
ཏི་སེ,ཏེ་སེ་
ཏིག་ཚ,ཏི་ཚ་
ཏེའུ་ལོ,རྟེའུ་ལོ་
