ཀ་ཅོག་ཞང་གསུམ་,སྐ་ཅོག་ཞང་གསུམ་
ཀ་ཆུ་,ཀ་ཇུ་
ཀ་བེད་,ཀ་པེད་
ཀ་འགོ་,ཀ་མགོ་
ཀམ་པ་,སྐམ་པ་
ཀར་བརྒྱུད་,ཀརྨ་བཀའ་བརྒྱུད་ཀྱི་མིང་
ཀར་ཡོལ་,དཀར་ཡོལ་
ཀརྣི་ཀ་,ཀརྞི་ཀ་ཞེས་
ཀི་ཀུ་,གི་གུ་
ཀུ་,ཀུང་ཀུ་མཾ་
ཀུག་,གུག་
ཀུག་ཀུག་,གུག་གུག་
ཀུངྐུ་མཾ་,ཀུང་ཀུ་མཾ་
ཀེའུ་རྩེ་,ཀེའུ་ཙེ་
ཀོ་ཀོ་,ཀོས་ཀོ་
ཀོ་བྱི་ལ་,ཀོ་བྱི་ལ་
ཀོ་སྐོ་,མ་ནེའི་དོན་དུ་འཇུག་པའི་ཀོས་ཀོ་
ཀོག་ཙེ་,ཀོག་རྩེ་
ཀོག་ཚེ་,ཀོག་རྩེ་
ཀོའུ་དི་ནྱ་,ཀུན་ཤེས་ཀཽཎྜི༌ནྱ་
ཀོལ་མ་,བསྐོལ་མ་
ཀོས་སྐོ་,ཀོས་ཀོ་
ཀྭ་ཡེ་,ཀ་ཡེ་
ཀྱ་ཀ་,སྐྱ་ཀ་
ཀྱིར་ཀྱིར་,ཀྱུར་ཀྱུར་
ཀྱུ་རུ་ར་,སྐྱུ་རུ་ར་
ཀྱེ་ཀ་,སྐྱ་ཀ་
ཀྱེ་མ་ཀྱེ་ཧུད་,ཀྱེ་མ་ཀྱི་ཧུད་
ཀྲུང་ཀྲུང་,ཁྲུང་ཁྲུང་
ཀྲུམས་,ཀྲུམ་
ཀླད་གཞུངས་,ཀླད་གཞུང་
ཀླུངས་,ཀླུང་
ཀློད་,གློད་
ཁ་ཁེངས་,ཕོ་ཟོག་གི་ལོ་གྲངས་ལ་འཇུག་པའི་ཁ་གང་
ཁ་གཤགས་,ཁ་ཤགས་
ཁ་ཆེ་གུར་ཀུམ་,ཁ་ཆེ་གུར་གུམ་
ཁ་ཐེག་,ཁག་ཐེག་
ཁ་དྲོག་,ཁ་གྲོག་
ཁ་པོ་,ཁ་བོ་
ཁ་བབས་,ཁ་བབ་
ཁ་བྲ་,ཁ་དབྲག་
