ཀན་ཊ་ཀ་རི,དེའི་འབྲས་བུ་སྨིན་ཚེ་དམར་པོ་བྱི་རུ་སྤུངས་པ་
ཀུན,ཐམས་ཅད་ཀྱི་དོན་
ཀོར,ཟླ་བ་ཉ་གང་ཀོར་མོ་རྔ་
ཀོར་མོ,ཀོར་
ཀྲི་ཁ,དབྱིབས་སྐྱ་ཀ་
ཀྲི་མི,དབྱིབས་ངུར་བ་
ཀྲུ་ཀྲུ,དབྱིབས་དང་མདོག་བྱ་ཕུག་རོན་
རྐྱང,དེ་ནི་དབྱིབས་བོང་བུ་
སྐུད་པ,སྐུད་པ་
ཁ་སྐྱེངས,སྐྱེངས་
ཁ་བྲི,ཕྲི་
ཁ་འོག,འོག་
ཁ་ཤ,དབྱིབས་ཤ་བ་
ཁ་སངས,ཁ་རྩང་
ཁང་ཚན,ཁམས་ཚན་
ཁམས,སྲོག་ཆགས་ཀྱི་ལུས་ནས་བྱུང་བའི་རིགས་རྒྱུད་སྤེལ་བའི་ས་བོན་ནམ་དེ་
ཁྲེ,སྙེ་མ་བྱི་ལའི་མཇུག་མའི་དབྱིབས་
འཁོར,འཁོར་ལོ་
གལ,གནད་བསྡུས་སམ་ཕྱོགས་བསྡོམས་
གུ་གུལ,ཚི་བའི་ངོ་བོ་ཐང་ཤིང་གི་ཚི་བ་
གོ་ཡུ,དེའི་དབྱིབས་ཧ་ལམ་ཛ་ཏི་
གོང་མོ,ཧ་ལམ་གོང་མོ་
གྲུ་ག,གྲུ་བཞི་བྲེ་
གྲུལ་བུམ,རྒྱ་མཚོའི་ནང་དུ་གནས་པའི་གནོད་སྦྱིན་གཟུགས་མིའི་དབྱིབས་
གླ་སྒང,དབྱིབས་གྲོ་མའི་རྩ་བ་
རྒྱ་གླིང,སྦུབ་ཤིང་གླིང་བུ་
སྒྲེ,ཤེས་ཟིན་པའི་བྱ་དངོས་ཤིག་གི་གནས་ལུགས་ལ་བསྡུར་ནས་དེ་
ངེས,ཁམས་གསུམ་བཙོན་ར་
ངོ་གཉིས་མ,ངོ་དགའ་
དངོས་མ,སྦྲང་ཆང་ཞིམ་མངར་སྦྲང་རྩི་དངོས་
ཅེ་ན,ལས་ཚིག་གི་མཐར་སྦྱར་ན་ཟེར་རམ་བཤད་
ཅེ་སྤྱང,དབྱིབས་དང་རང་གཤིས་རྣམས་སྤྱང་ཀི་
མཆུ,ཇ་སྣོད་དང་ཆུ་སྣོད་སོགས་ཀྱི་ཆུ་ཕྱིར་ལྡུག་བྱེད་དབྱིབས་བྱ་མཆུ་
འཆུག,འཕྱུག་
འཇིག,འཇིག་རྟེན་
འཇིལ་ལི,སྤུའམ་སྤུ་
ཉེ་ཤིང,གཞུང་རྟ་ལ་ཡལ་ག་མང་བོ་གྱེས་ཤིང་ལོ་མ་ཐང་ཤིང་ལོ་མ་
སྙན,སྙན་གྲགས་
སྙིང,དབྱིབས་ནི་ཚ་ཚ་
ཏི་ཚ,མདོག་དངུལ་
གཏུར་བུ,ལྭ་བ་སོགས་འཇུག་བྱེད་ཀྱི་ཁུག་མ་རིགས་ཤིག་གི་མིང་སྟེ་ད་ལྟའི་རྟ་འབོག་
