ཀ་ཀོ་ལ,སྔོ་ལྡུམ་ལྒ་ཡི་རིགས་ཤིག་དང་དེའི་འབྲས་བུ་ལ་འཇུག་ཅིང༌། ནང་གསེས་རིགས་མང་ངོ༌། །
ཀ་གདུང་ལམ་མདོ,ལམ་གཅིག་གི་གློ་ནས་ལམ་གཞན་ཞིག་དྲང་མོར་གྱེས་པའི་སུམ་ཚིགས་ཀྱི་མདོ་སྟེ། ཀ་བ་དང་གདུང་མ་ཕྲད་པའི་མཚམས་ལྟ་བུའོ། །
ཀ་ཆེན་ཐོན་ལས,རྒྱལ་དམངས་དཔལ་འབྱོར་གྱི་ཁྲོད་དུ་གཞི་འཛིན་པ་ལ་ཀ་བ་ཆེན་པོ་ལྟ་བུའི་ནུས་པ་འདོན་པའི་ཐོན་ལས་སོ། །
ཀ་དམ་པ། ཚོགས་ཅན་ཤིང,ཤིང་རིགས་ཤིག་སྟེ། འདི་ལ་ཚོགས་ཅན་ཤིང་ཞེས་ཚིག་མཛོད་འགའ་ཞིག་ཏུ་བྱུང་ངོ༌།
ཀ་པེད,སྔོ་ལྡུམ་རིགས་ཤིག་སྟེ། སྡོང་བུ་འཁྲིལ་སྐྱེས། ལོ་མ་སྙིང་དབྱིབས་ཆ་སྐྱེས། མེ་ཏོག་དཀར་པོ། འབྲས་བུ་ཤུན་སྐོགས་སྲ་བ་ཟླུམ་རིལ་ཆེ་ཆུང་ཉིས་འབྲེལ་ཅན། ཕྱི་ངོས་འཇམ་པ་སྣོད་སྤྱད་དུ་རུང་བ་ཞིག་དང་དེའི་འབྲས་བུ་ལའང་འཇུག་གོ །
ཀ་བ,དངོས་པོ་གང་ཞིག་ཡར་འདེགས་བྱེད་ཀྱི་ནུས་པ་གཙོ་བོ་འདོན་པའི་ཀ་བའོ། །
ཀ་བའི་གྲུ་རྒྱན,ཀ་གདུང་སྦྲེལ་བའི་གྲུ་བར་གསེག་གིས་བཅད་པའི་པ་ཏྲ་ཅན་གྱི་ཀ་རྒྱན་ཞིག་གོ །
ཀ་བའི་བར་རྒྱན,ཀ་བ་དང་ཀ་བའི་བར་དག་ན་ཀ་གདུང་འབྲེལ་མཚམས་ཀྱི་གྲུ་གར་གསེག་བཅད་ཀྱིས་སྤྲད་པའི་ཤིང་གི་པ་ཏྲའི་རྒྱན་ཆ་ཞིག་གོ །
ཀ་ར། བུ་རམ,བུར་ཤིང་དང་མངར་ཚལ་གྱི་ནང་དུ་ཆེས་མང་བའི་དྭངས་རྫས་མདོག་དཀར་ལ་རོ་མངར་བའི་སྐྱེ་བཅས་འདྲེས་རྫས་ཤིག་སྟེ་རྒྱུན་ཟས་ཀྱི་མངར་ཆ་བྱེ་མ་ཀ་ར་དང་བུར་ནག་གི་གྲུབ་ཆ་གཙོ་བོ་ཞིག་གོ །
ཀ་ར། བུ་རམ། བྱེ་རིལ། སྦྲང༌,བཟའ་བར་རུང་བའི་མངར་ཆའི་རིགས་ཀྱི་སྤྱི་མིང་ངོ༌། །
ཀ་ར། བུ་རམ། བྱེ་རིལ། སྦྲང༌,ཀ་རའི་འགྲེལ་བར་ལྟོས།
ཀ་ལམ,ཤིང་གི་སྡོང་དུམ་མང་པོ་སར་བཙུགས་པའི་རྩེ་མོ་ནས་འཁྱོག་པོར་བགྲོད་པའི་ལུས་རྩལ་ལམ་དྲག་རྩལ་སྦྱོང་བའི་ཐབས་ཤིག་གོ །
ཀཎྜ་ཀ་རི,ཤིང་ཕྲན་གྱི་རིགས་ཤིག་སྟེ། སྡོང་པོ་གཤིབ་སྐྱེས་ཁོང་དུ་རྐང་སོབ་སྐྱ་བོས་ཁེངས་ཤིང་སྟོད་ཆར་ཡལ་ག་གྱེས་པ། ཤུན་པ་དམར་སྨུག་འཇམ་པ། ཕྱི་ལ་ཐལ་སྐྱ་ལྟ་བུ་ཆགས་པ་ལ་ཚེར་མས་ཀུན་ནས་ཁྱབ་པ། ལོ་མ་སྒྲོ་དབྱིབས་རྩུབ་ལ་སྤུ་ཆུང་ཡོད་པ། མེ་ཏོག་ཟིང་དཀར་འཆར་བ། འབྲས་བུ་དམར་སེར་སྤུང་ལེགས་པ་མངར་གཤེར་གྱིས་ཁེངས་པ་ཞིག་གོ །
ཀལ,ལྕགས་རིགས་ཀྱི་འབྱུང་རྒྱུ་མདོག་དཀར་ཞིང་མཉེན་ལ་ཡང་བ་ཞིག་དང་ལུས་ཀྱི་རུས་པའམ་ཚིགས་རུས་ཀྱི་འབྱར་སྐྱི་སོགས་སྲ་བར་འགྱུར་བྱེད་ཀྱི་རྫས་ཤིག་གོ །
ཀལ་ཉམས་པ,མིའི་རུས་པ་སོགས་ཀྱི་ཁམས་སུ་ཡོད་པའི་ཀལ་ཞེས་པའི་སྲ་རྩི་ཉམས་པའོ། །
ཀལ་འགྱུར,མི་དང་སྲོག་ཆགས་ཀྱི་ལུས་ཕུང་གི་གནས་གང་རུང་དུ་ཀལ་ཚྭ་འཐིབས་ཤིང་བསགས་པས་སྲ་མཁྲེགས་སུ་གྱུར་པ་སྟེ། དེ་ཡང་རུས་སྒྲོམ་དང་སོ་ཡི་ནང་དུ་བྱུང་བའི་ཀལ་འགྱུར་ནི་སྐྱེ་ཁམས་དང་མཐུན་པའི་ཀལ་འགྱུར་ཡིན་ལ་ནད་ཀྱི་དབང་གིས་འགྱུར་བའམ་ཉམས་པའི་ཕུང་གྲུབ་ཀྱི་ནང་དུ་བྱུང་བའི་ཀལ་འགྱུར་ནི་འའཚོ་བཅུད་ཅུང་མི་བཟང་བའི་ཀལ་འགྱུར་ཡིན་པ་སོགས་ཀྱི་ཁྱད་པར་ཡོད་དོ། །
ཀུ་བ,ལོ་མ་ལག་པའི་དབྱིབས་དང་འདྲ་ཞིང་མེ་ཏོག་ཕལ་ཆེར་སེར་པོ་དང་འབྲས་བུ་བཟར་རུང་བའི་སར་ཉལ་རྩི་ཤིང་གི་རིགས་ཤིག་སྟེ། ཆུ་ཀུ་བ་དང་རྡོ་ཀུ་བ་སོགས་ནང་གསེས་ཀྱི་དབྱེ་བ་མང་ངོ༌། །
ཀུ་བ་ཁ་མོ། ཁ་ཀུབ,རོ་ཁ་བའི་ཀུ་བ་ཞིག་གོ །
ཀུ་ཤུ་ལྗང་གུ,ཁ་དོག་ལྗང་ཁུ་ཅན་གྱི་ཤིང་ཏོག་ཀུ་ཤུ་ཞིག་གོ །
ཀུ་ཤུ་སེར་པོ། བིམ་སེར,ཀུ་ཤུ་སེར་པོ་རོ་མངར་བ་ཞིག་གོ །
ཀུ་ཤུ། ལེ་མོན,ཚ་ཁུལ་དུ་སྐྱེ་བའི་ཤིང་ཏོག་ཕྱི་དམར་སེར་དང་ནང་དཀར་པོ་རོ་ཤིན་ཏུ་སྐྱུར་པོ་ཅན་ཞིག་སྟེ། ཁུ་བ་བཏུང་དུ་རུང་ངོ༌། །
ཀུན་ནུས་གློག་གསོག་ཆས,གློག་རྫས་ཀྱི་རིགས་མང་པོ་ལ་འཕྲོད་པའི་གློག་གསོག་ཆས་ཤིག་གོ །
ཀུན་ནུས་ལུས་རྩལ,ཉིན་གཅིག་གཉིས་ཀྱི་ནང་རྣམ་གྲངས་སྣ་མང་འགྲན་སྡུར་བྱེད་ཐུབ་པའི་ལུས་རྩལ་ཞིག་གོ །
ཀུབ་དཀར,ཀུ་བའི་རིགས་དབྱིབས་འཇོང་པོ་ཤུན་པའི་ངོས་སུ་སྤུ་ཆུང་སྐྱེས་ཤིང་ཕྱི་རྩི་དཀར་པོ་ཆགས་པ་ཞིག་གོ །
ཀུབ་འབྲུ,ཀུ་བའི་རིགས་ཀྱི་ནང་གི་འབྲུ་གུ་དང་ཉི་མ་མེ་ཏོག་གི་འབྲུ་གུ་ལྟ་བུའི་རིགས་སོ། །
ཀུབ་སིལ,ཀུ་བ་དང་ཤིང་ཏོག་ཅེས་པའི་ཚིག་སྡུད་དོ། །
ཀུབ་སྐམ,ཀུ་བ་གཏུབས་མ་མངར་ཆ་དང་སྦྱར་ཏེ་ཕྱེད་སྐམ་བྱས་པའི་བཟའ་བྱ་ཞིག་གོ །
ཀེའུ,ལོ་མ་རྐང་རིང་ཕྲ་ཞིང་མཉེན་ལ་སྒོག་དྲི་ཅན་གྱི་སྔོ་ཚལ་གྱི་རིགས་ཤིག་གོ །
ཀོ་གྲུ,ཀོ་བ་ལས་བཟོས་པའི་གྲུའོ། །
ཀོ་ཆས,རྒྱུ་ཀོ་བ་ལས་བཟོས་པའི་ཡོ་བྱད་སྣ་ཚོགས་པའོ། །
ཀོ་ཐག། སྐོར་ཐག,ཤེད་འཕྲུལ་སོགས་ཀྱི་འཁོར་ལོས་འཁོར་ལོ་གཞན་སྐོར་བྱེད་ཀྱི་ཐག་པའོ། །
ཀོ་དོར,རྒྱུ་ཀོ་ལྤགས་ལས་བཟོས་པའི་དོར་མའོ། །
ཀོ་བྱི་ལ,ཤིང་སྡོང་ཆེ་གྲས་སྡོང་ཤུན་སྐྱ་དཀར་ལོ་མ་ལྗང་སེར་སྒོར་ཞད་ཅན་མེ་ཏོག་དཀར་པོ་འབྲས་བུ་ཟླུམ་རིལ་དང་པོར་ལྗང་གུ་ཤར་ནས་དམར་སེར་དུ་འགྱུར་བ་ཞིག་གོ །
ཀོ་རན་ཆོས་དཔེ,ཁ་ཆེའི་ཆོས་ཀྱི་གཞུང་ལུགས་ཏེ། ཨ་རབ་སྐད་དུ་ཀོ་རན་ཞེས་འབོད་དོ། །
ཀོ་རྩི,ཀོ་ལྤགས་ལས་བཟོས་པའི་གྱོན་གོས་སོགས་ལ་བཀྲག་མདངས་འདོན་བྱེད་ཀྱི་རྩི་སྣུམ་ཞིག་གོ །
ཀོ་ལྷམ,ཀོ་བ་ལས་བཟོས་པའི་ལྷམ་མོ། །
ཀོ་ཤ,གདུགས་དབྱིབས་ལྟར་སྐྱེས་ཤིང་ཁ་དོག་སྨུག་ནག་མཁལ་མ་ལྟ་བུ། བཀྲག་མདངས་ཆེ་བ། རི་མོ་འཁྱིལ་འཁོར་དུ་བབས་ཤིང་སྨན་དུ་བྱ་བའི་སྐྱེ་དངོས་ཤིག་གོ །
ཀོ་སྐགས,ཀོ་བ་ལས་བཟོས་པའི་སྐ་རགས་སོ། །
ཀོ་སྟོད། པགས་སྟོད,ཀོ་ལྤགས་ལས་བཟོས་པའི་སྟོད་ཐུང་ངོ༌། །
ཀྲུང་གོ་གློག་འཕྲིན་སྤྱི་གཉེར་ཁང༌,ཀྲུང་གོའི་གློག་འཕྲིན་ཚོགས་པའི་སྤྱི་གཉེར་ཁང་སྟེ། རྒྱ་ཤིན་ཏུ་ཆེ་བའི་རྒྱལ་གཉེར་གྱི་འཕྲིན་གཏོང་ལས་ཁུངས་ཤིག་གོ །
ཀྲུང་གོ་འབྲེལ་འཕྲིན་སྤྱི་གཉེར་ཁང༌,ཀྲུང་གོའི་མཉམ་འབྲེལ་འཕྲིན་གཏོང་ཚད་ཡོད་སྤྱི་གཉེར་ཁང་སྟེ། རྒྱལ་གཉེར་གློག་འཕྲིན་ཁང་ངོ༌། །
ཀྲུའུ་ཞི། གཙོ་གནས་པ,༡ ཚོགས་འདུའི་གཙོ་འཛིན་མཁན་དང༌། ༢ རྒྱལ་ཁབ་དང་རྒྱལ་ཁབ་ལས་ཁུངས་དང་སྲིད་ཤོག་གམ་ཚོགས་པའི་རྩ་འཛུགས་ཀྱི་གོ་གནས་མཐོ་ཤོས་སོ། །
ཀླད་ཁྱིམ,ཀླད་སྐོགས་ཀྱི་ནང་གི་སྟོང་པའི་ཆའོ། །
ཀླད་ཁྲག་འཁར་བ། ཀླད་རྩ་འགགས་པ,ངན་ཁྲག་འཁར་ནས་ཀླད་པའི་རྩ་སྦུབས་འགགས་པའོ། །
ཀླད་ཁྲག་རྒྱུ་རིས,ཀླད་པའི་ཁྲག་རྒྱུན་རྒྱུ་ཚུལ་གསལ་པོར་མཐོང་བའི་གློག་རིས་སོ། །
ཀླད་ཁྲག་ཤོར་བ། ཀླད་ཁྲག་འདྲེས་པ,ཀླད་ཁྲག་ཤོར་བ་ཞེས་པའི་འགྲེལ་བར་ལྟོས།
ཀླད་ཁྲག་ཤོར་བ། ཀླད་ཁྲག་འདྲེས་པ,ཁྲག་རྩ་རེངས་པར་གྱུར་པ་དང་ཁྲག་ཤེད་གློ་བུར་དུ་ཇེ་ཆེར་སོང་བ་སོགས་ཀྱིས་བསྐྱེད་པའི་ཁྲག་རྩ་རྡོལ་ནས་ཁྲག་ཕྱིར་ལུད་དེ་ཀླད་པར་ཤོར་བའི་ནད་ཅིག་སྟེ། ནད་རྟགས་སུ་མགོ་གཟེར་ཞིང་དྲན་པ་ཉམས་པ་དང་བརྒྱལ་བ་སོགས་འབྱུང་ངོ༌། །
ཀླད་གཅོང༌,ཀླད་པའི་ནང་དུ་གཅོང་སྐྱེད་དབྱུག་སྲིན་ལ་གཉན་ཁ་ཞུགས་ཏེ་ཤ་འབུར་སྐྱེས་པའི་ནད་དོ། །
ཀླད་གཞི,ཀླད་རྒྱུངས་དང་ཀླད་ཟམ་དང་བར་ཀླད་བཅས་ཀྱིས་གྲུབ་པའི་ཀླད་པའི་ཆ་ཤས་སོ། །
